номер сеанса;Название организации;Объект испытаний 1;Объект испытаний 2;Объект испытаний 3;Объект испытаний 4;Код среды (Ион);Среднее по трековым детекторам;ТД1;ТД2;ТД3;ТД4;ТД5;ТД6;ТД7;ТД8;ТД9;Среднее по on-line детекторам;ОД1;ОД2;ОД3;ОД4;Интенсивность потока в сеансе;Номер протокола допуска;Угол облучения;Давление на испытательном комплексе;Влажность на испытательном комплексе, %;Температура на испытательном комплексе;Температура в сеансе;неоднородность, %;К;±;Неоднородность по левой стороне;Неоднородность по правой стороне
101;СПЭЛС;20125010006;20125010006;;;АрВак--;2,85E+06;2,80E+06;2,90E+06;;;;;;;;3,01E+06;3,00E+06;2,97E+06;2,81E+06;3,27E+06;2,00E+04;02.03.2002;0;741;51;25;40;3,45;0,95;0,27;;
102;СПЭЛС;20125010003;;;;АрВак--;2,90E+06;3,00E+06;2,80E+06;;;;;;;;3,01E+06;2,99E+06;2,97E+06;2,80E+06;3,26E+06;2,00E+04;02.03.2002;0;741;51;25;40;6,67;0,96;0,31;;
103;СПЭЛС;20125010003;20125010003;;;АрВак--;3,10E+06;3,10E+06;3,10E+06;;;;;;;;3,01E+06;3,00E+06;2,97E+06;2,81E+06;3,26E+06;2,00E+04;02.03.2002;0;741;51;25;40;0;1,03;0,29;;
104;ПН(Смена);;;;;АрВак--;9,96E+06;9,70E+06;9,80E+06;9,50E+06;1,10E+07;9,80E+06;9,80E+06;1,00E+07;1,00E+07;1,00E+07;1,00E+07;9,97E+06;9,90E+06;9,32E+06;1,09E+07;2,00E+04;02.03.2005;-;750;55;24;-;13,64;0,99;0,29;;
105;СПЭЛС;20093040001;;;;АрВак--;4,50E+07;4,70E+07;4,30E+07;;;;;;;;4,51E+07;4,46E+07;4,48E+07;4,17E+07;4,91E+07;4,00E+04;02.03.2005;0;750;55;24;25;8,51;1;0,34;;
106;СПЭЛС;20093040001;;;;АрВак--;4,25E+07;4,10E+07;4,40E+07;;;;;;;;4,50E+07;4,45E+07;4,48E+07;4,17E+07;4,92E+07;4,00E+04;02.03.2005;0;750;55;24;25;6,82;0,94;0,3;;
107;СПЭЛС;20093040001;;;;АрВак--;4,40E+07;4,30E+07;4,50E+07;;;;;;;;4,50E+07;4,43E+07;4,49E+07;4,15E+07;4,94E+07;4,00E+04;02.03.2005;0;750;55;24;25;4,44;0,98;0,29;;
108;СПЭЛС;21031010001;21031010001;;;АрВак--;9,00E+07;8,70E+07;9,20E+07;8,90E+07;9,20E+07;;;;;;9,01E+07;8,79E+07;9,12E+07;8,20E+07;9,93E+07;4,00E+04;02.03.2005;0;750;55;24;25;5,43;1;0,29;5,43;3,26
109;СПЭЛС;8911010001;8911010001;;;АрВак--;4,68E+05;4,70E+05;4,50E+05;4,70E+05;4,80E+05;;;;;;4,68E+05;4,59E+05;4,70E+05;4,28E+05;5,14E+05;5,00E+03;02.03.2005;0;750;55;24;125;6,25;1;0,29;4,26;2,08
110;СПЭЛС;22015010001;22015010001;;;АрВак--;1,80E+06;1,80E+06;1,70E+06;1,90E+06;1,80E+06;;;;;;1,82E+06;1,79E+06;1,83E+06;1,67E+06;2,01E+06;3,00E+03;02.03.2005;0;750;55;24;25;10,53;0,99;0,3;5,56;5,26
111;СПЭЛС;20091010002;21061010001;;;АрВак--;7,20E+06;7,20E+06;7,00E+06;7,40E+06;7,20E+06;;;;;;7,12E+06;6,83E+06;6,91E+06;6,36E+06;7,63E+06;5,00E+03;02.03.2005;0;750;55;24;125;5,41;1,01;0,29;2,78;2,7
